1,Halorubrum_Sp_AJ67.gene.001108,Halorubrum_Sp_AJ67.gene.001108,-,scaffold00001:79710-82153,ctrl,uv,NOTEST,0,"1047,75",inf,0,1,1,no,C465_01729,cytochrome d ubiquinol oxidase subunit II,cytochrome d ubiquinol oxidase subunit II,[C] COG1294 Cytochrome bd-type quinol oxidase%2C subunit 2
2,Halorubrum_Sp_AJ67.gene.001109,Halorubrum_Sp_AJ67.gene.001109,-,scaffold00001:79710-82153,ctrl,uv,NOTEST,0,"1243,16",inf,0,1,1,no,C465_01734,cytochrome d ubiquinol oxidase subunit I,cytochrome d ubiquinol oxidase subunit I,[C] COG1271 Cytochrome bd-type quinol oxidase%2C subunit 1
3,Halorubrum_Sp_AJ67.gene.001120,Halorubrum_Sp_AJ67.gene.001120,-,scaffold00001:88568-89762,ctrl,uv,NOTEST,0,"692,729",inf,0,1,1,no,C473_12826,fused rhodanese domain-containing protein/hydrolase,fused rhodanese domain-containing protein/hydrolase,[R] COG0491 Zn-dependent hydrolases%2C including glyoxylases
4,Halorubrum_Sp_AJ67.gene.001133,Halorubrum_Sp_AJ67.gene.001133,-,scaffold00001:95259-96768,ctrl,uv,NOTEST,0,"605,858",inf,0,1,1,no,C472_15117,sodium-driven multidrug efflux pump,sodium-driven multidrug efflux pump,[V] COG0534 Na+-driven multidrug efflux pump
5,Halorubrum_Sp_AJ67.gene.001154,Halorubrum_Sp_AJ67.gene.001154,-,scaffold00001:113227-114262,ctrl,uv,NOTEST,0,"857,838",inf,0,1,1,no,C468_06862,4Fe-4S ferredoxin iron-sulfur-binding domain-containing protein,4Fe-4S ferredoxin iron-sulfur-binding domain-containing protein,[C] COG0437 Fe-S-cluster-containing hydrogenase components 1
6,Halorubrum_Sp_AJ67.gene.001190,Halorubrum_Sp_AJ67.gene.001190,-,scaffold00001:142145-143594,ctrl,uv,NOTEST,0,"1482,43",inf,0,1,1,no,,hypothetical protein,hypothetical protein,
7,Halorubrum_Sp_AJ67.gene.001195,Halorubrum_Sp_AJ67.gene.001195,-,scaffold00001:145245-149406,ctrl,uv,NOTEST,0,"1689,63",inf,0,1,1,no,C444_18337,uncharacterized protein,uncharacterized protein,
8,Halorubrum_Sp_AJ67.gene.001196,Halorubrum_Sp_AJ67.gene.001196,-,scaffold00001:149412-152301,ctrl,uv,NOTEST,0,"224,703",inf,0,1,1,no,Halar_0387,putative uncharacterized protein,putative uncharacterized protein,[L] COG1743 Adenine-specific DNA methylase containing a Zn-ribbon
10,Halorubrum_Sp_AJ67.gene.001199,Halorubrum_Sp_AJ67.gene.001199,-,scaffold00001:156621-157893,ctrl,uv,NOTEST,0,"552,674",inf,0,1,1,no,Halar_0710,hypothetical protein,hypothetical protein,
11,Halorubrum_Sp_AJ67.gene.001202,Halorubrum_Sp_AJ67.gene.001202,-,scaffold00001:159305-160520,ctrl,uv,NOTEST,0,"659,489",inf,0,1,1,no,Hmuk_3249,ORC1-type DNA replication protein,ORC1-type DNA replication protein,[LO] COG1474 Cdc6-related protein%2C AAA superfamily ATPase
13,Halorubrum_Sp_AJ67.gene.001235,Halorubrum_Sp_AJ67.gene.001235,-,scaffold00001:192489-194766,ctrl,uv,NOTEST,0,"303,762",inf,0,1,1,no,C484_00010,DEAD/DEAH box helicase family protein,DEAD/DEAH box helicase family protein,[R] COG1204 Superfamily II helicase
14,Halorubrum_Sp_AJ67.gene.001249,Halorubrum_Sp_AJ67.gene.001249,-,scaffold00001:204656-206437,ctrl,uv,NOTEST,0,"658,21",inf,0,1,1,no,,hypothetical protein,hypothetical protein,
15,Halorubrum_Sp_AJ67.gene.001307,Halorubrum_Sp_AJ67.gene.001307,-,scaffold00001:238190-240117,ctrl,uv,NOTEST,0,1027,inf,0,1,1,no,,hypothetical protein,hypothetical protein,
16,Halorubrum_Sp_AJ67.gene.00131,Halorubrum_Sp_AJ67.gene.00131,-,scaffold00001:29264-30389,ctrl,uv,NOTEST,0,"886,756",inf,0,1,1,no,C468_05913,uncharacterized protein,uncharacterized protein,[V] COG0577 ABC-type antimicrobial peptide transport system%2C permease component
